name,birthDate
Dorit,2021-08-15
Gesine,1968-10-16
Fabienne,1942-05-23
Jana,1919-02-13
Melisa,1953-10-29
Johann,1981-12-10
Anja,1921-11-17
Ulrich,1984-11-29
Ella,2002-05-03
Gerold,1930-06-12
Mara,1995-08-19
Stephan,1934-05-05
Lily,1923-03-09
Steve,1910-03-09
Theodora,1923-05-25
Nico,1992-11-05
Mia,1950-04-23
Gordana,1998-01-20
Helene,1988-04-16
Urban,1953-03-22
Theo,1947-07-21
Jörg-Peter,1940-02-16
Juri,1988-10-30
Franziska,2019-01-29
Maurice,1919-12-14
Nils,1928-05-23
Irmhild,1975-06-29
Zenon,2008-12-01
Katy,1963-09-03
Margita,2016-04-10
Frederik,1953-05-04
Gesa,1922-04-09
Juliane,1951-07-15
Annabelle,1937-06-03
Darius,2009-01-12
Svenja,1999-04-14
Frida,1925-09-28
Andreas,1916-01-31
Michelle,2022-03-24
Christof,2002-08-26
Wolf,1942-09-05
Joel,1940-05-16
Igor,1947-06-03
Mariola,1972-09-07
Celal,1981-07-14
Constanze,1919-09-19
Lukas,1979-06-06
Emilian,1907-10-30
Marie-Theres,1954-03-26
Helma,2012-06-04
Engin,1994-03-11
Zara,1922-01-06
Bruno,1907-12-12
Gustav,1993-08-30
Hermann Josef,1968-02-13
Edeltraud,1956-04-15
Clemens,1946-03-02
Philip,2015-11-24
Ottomar,1961-10-18
Leontina,1915-10-21
Johanna,1957-02-21
Myriam,1944-09-20
Lilly,1976-12-26
Andrea,1946-03-13
Lara,1941-03-11
Zoltan,2011-02-12
Fabian,1919-08-19
Maurice,1945-05-14
Denise,1998-10-29
Donald,1916-09-23
Timo,1941-09-12
Margarethe,1907-06-02
Sabrina,1922-11-04
Gertraud,1913-04-13
Martina,1922-06-07
Urs,2006-06-04
Melanie,1940-09-21
André,2004-06-29
Beate,1924-02-12
Bozena,2006-09-09
Luisa,1952-08-20
Klemens,1992-09-25
Filip,1997-04-16
Viola,1965-12-13
Horst-Dieter,1934-03-11
Veronika,1941-06-24
Thomas,1968-01-08
Albina,2020-10-15
Alexandra,1923-02-20
Mohammed,2008-10-21
Saskia,1924-02-18
Wendelin,2012-12-23
Hülya,1907-04-06
Ella,2005-05-31
Laureen,1945-01-12
Ivonne,2012-08-07
Maximilian,1994-10-26
Yusuf,2011-11-28
Betti,1934-05-12
Carmine,2015-08-15
